ResponseId,Group,Correct,Regret,Female,Age,Educ,Income,Ideology,PID,PID0,PID1,PID2,PID3,Knowledge,Voted,VotedAnaya,VotedObrador,NewVote,ExtEffi,IntEffi,Trust_Media,Satisficer,M1,M2,M3,M,W
R_2QtjYsaZ8cU5bBE,Control,3,0,0,43,3,16,3,MORENA-PT-PES,0,0,0,1,1,0,0,0,0,4,4,4,0,0,0,1,1,4.225684916201117
R_1eypHh7Z4mw81lp,Treat2,5,0,1,40,5,10,5,Etc,1,0,0,0,1,1,0,1,0,3,3,3,0,0,1,0,1,4.95065380116959
R_vfdxGhVxT72Wu53,Control,4,1,0,45,5,13,7,PAN-PRD-MC,0,1,0,0,3,1,0,0,1,4,4,3,0,0,0,1,1,4.225684916201117
R_2vll9ZtvMb9AN0R,Treat2,3,0,0,44,5,9,5,Etc,1,0,0,0,0,1,0,0,0,3,4,2,0,0,1,0,1,4.225684916201117
R_3iVisCLETtuHeKq,Treat2,5,0,0,50,6,16,7,PAN-PRD-MC,0,1,0,0,2,1,0,0,0,4,5,3,0,0,1,0,1,4.510031297709924
R_3JaN93eSwTtL3Ab,Treat2,5,0,1,47,3,4,10,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,5,3,4,0,0,1,0,1,4.95065380116959
R_b7Txs67X1V0BChP,Control,5,0,0,43,5,5,4,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,5,5,4,0,0,0,1,1,4.225684916201117
R_zeVnDTt12OEu4cp,Treat1,5,0,1,41,4,4,5,Etc,1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,4.95065380116959
R_VQMRJG1vdkrM1Vv,Treat1,2,1,1,42,5,5,5,Etc,1,0,0,0,1,0,0,0,2,4,4,1,0,1,0,0,1,4.95065380116959
R_2CrKTqiMOVNaJWc,Treat1,5,0,0,40,5,5,8,Etc,1,0,0,0,1,1,0,1,0,1,5,3,0,0,0,0,0,4.225684916201117
R_3iVUxq2J2o6sTpU,Treat1,5,0,0,51,5,20,5,Etc,1,0,0,0,2,1,0,0,0,4,5,3,0,1,0,0,1,4.510031297709924
R_27JY8tpnFTR0PHb,Treat2,5,0,0,46,3,4,0,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,5,0,0,0,0,0,4.225684916201117
R_3KNQFk1anRJ8iJn,Control,5,0,1,47,2,4,5,Etc,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,4.95065380116959
R_1GZTYP71A8ZkSe0,Control,2,0,0,40,5,12,5,Etc,1,0,0,0,2,1,0,1,0,4,5,4,0,0,0,1,1,4.225684916201117
R_yIn94nFfd56VEJz,Control,5,0,0,47,6,20,4,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,4,5,1,0,0,0,1,1,4.225684916201117
R_1P5FUuFZ926q8qC,Control,4,0,0,49,6,12,5,Etc,1,0,0,0,3,1,0,1,0,1,4,2,0,0,0,1,1,4.225684916201117
R_PCncti1EGhuHc1b,Treat1,5,0,0,48,6,20,5,Etc,1,0,0,0,1,0,0,0,0,3,3,3,0,1,0,0,1,4.225684916201117
R_2OZ154SHmbntLPi,Control,5,0,0,43,6,14,7,PRI-PVEM-PNA,0,0,1,0,3,1,0,0,0,5,5,4,0,0,0,1,1,4.225684916201117
R_psElUaFxtFQN2Fj,Control,4,0,1,43,4,9,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,5,4,0,0,0,1,1,4.95065380116959
R_2TtIheW4StZfW8D,Treat1,5,0,1,45,6,15,5,Etc,1,0,0,0,1,0,0,0,0,3,3,2,0,0,0,0,0,4.95065380116959
R_3dEbPtJtbCsZvF1,Treat2,4,1,0,48,6,4,4,Etc,1,0,0,0,0,0,0,0,1,4,4,3,0,0,0,0,0,4.225684916201117
R_UMItFaPXcCISo0N,Treat2,5,0,0,35,6,13,8,PRI-PVEM-PNA,0,0,1,0,3,1,0,0,0,4,2,3,0,0,1,0,1,4.16821308411215
R_2xRjVkMZnIMPdgZ,Treat1,4,0,0,53,5,19,5,Etc,1,0,0,0,1,1,0,0,0,3,4,4,0,1,0,0,1,4.510031297709924
R_3LcHWnkVB0H13hV,Control,4,0,1,46,5,18,7,Etc,1,0,0,0,3,1,0,0,0,5,4,3,0,0,0,1,1,4.95065380116959
R_248bgbqFa4tEd3M,Control,5,0,1,41,5,13,5,Etc,1,0,0,0,3,1,0,1,0,5,5,1,0,0,0,1,1,4.95065380116959
R_1rIn8JepLAl0rC3,Treat1,5,0,0,46,5,12,5,Etc,1,0,0,0,2,1,0,0,0,3,5,4,0,1,0,0,1,4.225684916201117
R_xFqnBCk2sj2xxFT,Control,4,0,0,38,4,6,7,PAN-PRD-MC,0,1,0,0,2,1,0,1,0,5,5,4,0,0,0,1,1,4.16821308411215
R_Rn76WsBjvC4lLzj,Control,3,0,0,40,5,5,5,Etc,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,4.225684916201117
R_2QWBcONg5fzx1UH,Treat1,5,0,0,51,5,12,5,Etc,1,0,0,0,1,1,0,0,0,5,5,4,0,0,0,0,0,4.510031297709924
R_PYyYVx2NntM3dYt,Control,1,1,1,43,5,4,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,2,2,3,2,0,0,0,1,1,4.95065380116959
R_324o8hUUrM0FM9j,Control,4,0,1,51,3,3,5,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,4,3,0,0,0,1,1,6.300476699029127
R_2Va0PSpl1mirrxy,Treat1,5,0,1,46,4,12,5,Etc,1,0,0,0,2,1,0,0,0,5,5,3,0,1,0,0,1,4.95065380116959
R_3oT9Jbyqk1A4boG,Treat1,3,1,1,56,3,10,9,Etc,1,0,0,0,1,1,0,1,4,3,2,5,0,0,0,0,0,6.300476699029127
R_1joEtIDPvTLUPRu,Control,4,0,1,45,3,7,5,Etc,1,0,0,0,1,1,0,0,0,5,3,2,0,0,0,1,1,4.95065380116959
R_ZBSvmbEvYh7XCEx,Treat2,4,0,1,45,4,6,5,Etc,1,0,0,0,1,1,0,0,0,4,4,2,0,0,0,0,0,4.95065380116959
R_BLFXyxFMn0PPALn,Treat1,2,1,1,36,5,17,7,PAN-PRD-MC,0,1,0,0,2,1,0,1,1,4,4,4,0,1,0,0,1,4.367588288288288
R_10Yt3KsqQkHJmlh,Control,5,0,1,41,2,8,6,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,4,2,3,0,0,0,1,1,4.95065380116959
R_1FsNPgPhcHr23VW,Treat1,5,0,0,54,3,5,6,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,4,4,0,0,0,0,0,4.510031297709924
R_O39MjuEZFHQCBm9,Treat2,5,0,1,55,5,20,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,4,0,0,1,0,1,6.300476699029127
R_22Q6AiNXsl9s9G4,Control,5,0,0,51,5,6,0,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,1,0,0,0,1,1,4.510031297709924
R_aV6mScVEz03wBZn,Treat1,5,0,0,59,5,20,10,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,5,5,4,0,0,0,0,0,4.510031297709924
R_86qgyCgRILoWQ9j,Treat2,5,0,0,42,5,10,5,Etc,1,0,0,0,1,0,0,0,0,3,3,2,0,0,1,0,1,4.225684916201117
R_3QQX88LLYQTMzDn,Control,5,0,0,51,6,10,0,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,2,0,0,0,1,1,4.510031297709924
R_usSshF52MtVRHXz,Treat2,2,1,0,53,4,20,6,Etc,1,0,0,0,2,1,0,1,1,5,5,4,0,0,1,0,1,4.510031297709924
